item_no,category,main_promotion,color,stars
902299,Polo-Shirt,Catalog,Yellow,3.9
605308,Blouse,Frontpage_Header,Blue,4.2
307667,T-Shirt,Catalog,Blue,3
271823,Polo-Shirt,Frontpage_Header,Yellow,1.9
573967,Blouse,Catalog,Yellow,4.1
773998,T-Shirt,Category_Highlight,Yellow,4.6
769988,T-Shirt,Display_Ad_Campaign,Black,4.2
297632,Polo-Shirt,Category_Highlight,Red,3.9
301758,T-Shirt,Category_Highlight,Yellow,5.4
984022,Blouse,Display_Ad_Campaign,Blue,4.9
351808,T-Shirt,Frontpage_Header,Multi-Color,4.6
141385,Tunic,Category_Highlight,Multi-Color,3.4
401779,Blouse,Catalog,Yellow,4
264239,Hoodie,Frontpage_Header,Yellow,2.5
775890,Sweatshirt,Catalog,Orange,4.3
354216,Sweatshirt,Category_Highlight,Red,1.4
171232,Sweatshirt,Frontpage_Header,White,2.9
804982,Polo-Shirt,Frontpage_Header,Yellow,2.5
921791,Blouse,Frontpage_Header,Yellow,3.5
945461,Hoodie,Catalog,Orange,3.2
131126,Tunic,Category_Highlight,Multi-Color,4.3
385560,Tunic,Category_Highlight,Red,3.2
688977,Hoodie,Catalog,Orange,2.8
266374,Polo-Shirt,Category_Highlight,Brown,4.2
769913,Polo-Shirt,Catalog,Yellow,4
926997,Blouse,Category_Highlight,Black,4.4
591184,Blouse,Category_Highlight,Blue,4.7
983177,Blouse,Catalog,Blue,2.5
566361,Blouse,Category_Highlight,Green,5.4
774556,Sweatshirt,Frontpage_Header,Blue,2.5
987868,Polo-Shirt,Frontpage_Header,Green,2
218314,T-Shirt,Catalog,Red,4.3
131191,Tunic,Category_Highlight,Yellow,3.1
415739,Sweatshirt,Catalog,Red,4.8
538481,Polo-Shirt,Catalog,Multi-Color,3.6
474529,Polo-Shirt,Category_Highlight,Yellow,2.8
105725,Sweatshirt,Display_Ad_Campaign,Orange,4.8
970169,Blouse,Display_Ad_Campaign,Brown,5
767076,Sweatshirt,Display_Ad_Campaign,Orange,3.5
410448,Sweatshirt,Catalog,Red,1.4
466849,Tunic,Frontpage_Header,Brown,3
632434,Polo-Shirt,Catalog,Orange,3.6
525489,Hoodie,Category_Highlight,Brown,3.6
582532,Tunic,Catalog,Blue,4.8
315520,Tunic,Category_Highlight,Red,3
644345,Polo-Shirt,Catalog,Pink,3.8
223064,T-Shirt,Category_Highlight,Yellow,3.7
119963,Polo-Shirt,Category_Highlight,Multi-Color,3.1
897134,Tunic,Display_Ad_Campaign,Black,2.5
191970,T-Shirt,Catalog,Black,4
156241,Sweatshirt,Category_Highlight,Red,1
733884,Tunic,Display_Ad_Campaign,Black,2.7
971341,T-Shirt,Frontpage_Header,Yellow,4.2
641798,T-Shirt,Catalog,Red,4.6
320884,Blouse,Display_Ad_Campaign,Yellow,3.6
850370,T-Shirt,Catalog,Blue,4.1
491303,Hoodie,Frontpage_Header,Yellow,3.2
389858,Tunic,Catalog,Green,3
214273,Hoodie,Catalog,Yellow,3.4
668486,Sweatshirt,Frontpage_Header,Pink,3.5
965825,T-Shirt,Catalog,Red,4
838802,T-Shirt,Category_Highlight,Blue,3.1
709312,Sweatshirt,Display_Ad_Campaign,Orange,4.5
640808,Tunic,Category_Highlight,Black,5.2
925365,T-Shirt,Catalog,Black,3.1
856259,Polo-Shirt,Category_Highlight,Multi-Color,2.3
963976,Blouse,Catalog,Yellow,4.4
563715,Sweatshirt,Category_Highlight,Green,3.3
830541,Blouse,Catalog,Pink,4.3
198091,Tunic,Category_Highlight,Blue,5.2
774908,Tunic,Frontpage_Header,Yellow,2.7
488105,Hoodie,Catalog,Black,4.6
264075,Sweatshirt,Display_Ad_Campaign,Blue,3.4
186484,Tunic,Display_Ad_Campaign,Multi-Color,3.9
420205,Tunic,Category_Highlight,Brown,4.3
141146,Sweatshirt,Frontpage_Header,Green,2.6
765312,T-Shirt,Frontpage_Header,Multi-Color,4.5
362385,T-Shirt,Catalog,Black,3.4
530737,Hoodie,Display_Ad_Campaign,Green,2.4
155091,T-Shirt,Category_Highlight,Green,5
324928,Tunic,Category_Highlight,Red,2.9
585423,Sweatshirt,Catalog,Black,5.3
655112,Blouse,Catalog,Yellow,4.3
269009,Tunic,Category_Highlight,Green,3.1
858411,Polo-Shirt,Catalog,Multi-Color,3.4
628426,T-Shirt,Frontpage_Header,Yellow,3.8
796574,Tunic,Frontpage_Header,Multi-Color,3.2
216535,Blouse,Display_Ad_Campaign,Brown,4.9
543132,Polo-Shirt,Category_Highlight,Multi-Color,3.4
515091,Tunic,Category_Highlight,Brown,4.2
648533,Tunic,Category_Highlight,Brown,4.4
524262,Sweatshirt,Category_Highlight,Red,1.2
398211,Sweatshirt,Category_Highlight,Red,1.4
296831,Hoodie,Catalog,Green,3.5
280692,T-Shirt,Category_Highlight,Red,4
333186,Sweatshirt,Catalog,Yellow,3.7
262521,T-Shirt,Category_Highlight,Blue,3.3
568434,Polo-Shirt,Frontpage_Header,Orange,2.6
248926,T-Shirt,Display_Ad_Campaign,Black,3.5
913601,Tunic,Catalog,Green,2.6
615717,Tunic,Category_Highlight,Brown,4.8
704396,Tunic,Frontpage_Header,Brown,4.6
362360,Polo-Shirt,Catalog,Green,3
393811,Sweatshirt,Frontpage_Header,Blue,2.8
698913,Tunic,Category_Highlight,Yellow,2.9
331758,Tunic,Frontpage_Header,Multi-Color,2.2
188084,T-Shirt,Category_Highlight,Multi-Color,1.4
377713,T-Shirt,Catalog,Black,3.5
714806,Polo-Shirt,Catalog,Pink,4
438678,Tunic,Catalog,Green,2.8
756863,Sweatshirt,Display_Ad_Campaign,Red,2.2
945726,Sweatshirt,Display_Ad_Campaign,Black,3.4
962592,Blouse,Frontpage_Header,Blue,3.8
822596,Tunic,Display_Ad_Campaign,Black,2.6
795258,Polo-Shirt,Frontpage_Header,Orange,2.1
920188,Sweatshirt,Display_Ad_Campaign,Red,4.3
213330,Polo-Shirt,Frontpage_Header,Yellow,2.4
135546,T-Shirt,Category_Highlight,Black,2.9
975820,Blouse,Frontpage_Header,Red,5
289318,Sweatshirt,Frontpage_Header,Green,2.2
606458,Polo-Shirt,Frontpage_Header,Green,3.5
539593,Sweatshirt,Category_Highlight,Red,1.7
474109,T-Shirt,Catalog,Multi-Color,4.4
582326,T-Shirt,Display_Ad_Campaign,Black,3.8
983129,Tunic,Frontpage_Header,Blue,3
299877,T-Shirt,Catalog,Red,4.5
600100,Blouse,Frontpage_Header,Multi-Color,4.6
254129,Hoodie,Frontpage_Header,Yellow,2.4
204987,Sweatshirt,Catalog,Yellow,4.1
284234,Sweatshirt,Display_Ad_Campaign,White,3.5
281891,Tunic,Category_Highlight,Green,4.4
548419,Blouse,Frontpage_Header,Black,4.3
742911,Hoodie,Catalog,Orange,3
181200,Sweatshirt,Category_Highlight,Pink,3.7
709239,Sweatshirt,Catalog,Orange,4.9
468038,Sweatshirt,Display_Ad_Campaign,Blue,3.4
749643,Blouse,Frontpage_Header,Multi-Color,2.5
139194,Sweatshirt,Display_Ad_Campaign,Orange,4.3
664161,Polo-Shirt,Catalog,Yellow,3.6
112842,Tunic,Category_Highlight,Blue,5.4
223457,Polo-Shirt,Category_Highlight,Green,3.9
325026,Hoodie,Catalog,Orange,3.6
515257,Tunic,Category_Highlight,Green,3.4
876008,Tunic,Frontpage_Header,Brown,4
485225,Sweatshirt,Catalog,Multi-Color,2.9
355053,Blouse,Frontpage_Header,Blue,4.2
602859,T-Shirt,Category_Highlight,Green,5.5
851816,T-Shirt,Category_Highlight,Multi-Color,3.1
672832,Tunic,Catalog,Multi-Color,3.6
635154,T-Shirt,Frontpage_Header,Yellow,4.7
661002,T-Shirt,Catalog,Multi-Color,1.2
747463,Hoodie,Category_Highlight,Orange,2.4
982109,Tunic,Category_Highlight,Multi-Color,3.6
192901,Polo-Shirt,Frontpage_Header,Yellow,2.1
564216,Blouse,Catalog,Yellow,4.4
756665,Blouse,Catalog,Red,1.5
917833,Blouse,Catalog,Orange,5.2
118032,Blouse,Frontpage_Header,Red,4.5
645856,Sweatshirt,Frontpage_Header,Multi-Color,2.7
430112,Blouse,Display_Ad_Campaign,Brown,5.3
645732,Blouse,Frontpage_Header,Black,4.7
407924,Polo-Shirt,Category_Highlight,Multi-Color,2.6
728952,Tunic,Display_Ad_Campaign,Multi-Color,4.5
355773,Blouse,Frontpage_Header,Black,4.2
950765,Tunic,Category_Highlight,Blue,4.5
523631,Tunic,Category_Highlight,Brown,4
153021,Hoodie,Catalog,Green,4.1
587288,Tunic,Category_Highlight,Multi-Color,3.9
850726,Sweatshirt,Frontpage_Header,Green,4
354414,Blouse,Display_Ad_Campaign,Brown,5.8
207397,Blouse,Frontpage_Header,Red,4.1
584184,Polo-Shirt,Frontpage_Header,Brown,2.5
842203,Tunic,Category_Highlight,Yellow,2.9
349163,Hoodie,Catalog,Red,2.3
987603,Tunic,Category_Highlight,Brown,3
394455,Polo-Shirt,Display_Ad_Campaign,Pink,5.3
338234,Blouse,Catalog,Orange,4.6
221537,Sweatshirt,Catalog,Black,4.9
864016,T-Shirt,Category_Highlight,Yellow,5.1
461045,Blouse,Display_Ad_Campaign,Yellow,3.6
898966,Polo-Shirt,Category_Highlight,Brown,2.4
518933,Tunic,Catalog,Red,2.8
924408,Sweatshirt,Display_Ad_Campaign,Black,3.5
378471,Sweatshirt,Frontpage_Header,Multi-Color,1.7
876560,Blouse,Category_Highlight,White,2.1
246280,Tunic,Category_Highlight,Red,3.6
164201,Tunic,Display_Ad_Campaign,Multi-Color,4.2
394965,Polo-Shirt,Catalog,Multi-Color,2.7
602361,Tunic,Frontpage_Header,Red,2.5
299204,Blouse,Display_Ad_Campaign,Brown,4.7
567167,T-Shirt,Category_Highlight,Black,2.9
763529,Hoodie,Catalog,Multi-Color,3.1
783386,T-Shirt,Display_Ad_Campaign,Black,3.6
852221,Tunic,Frontpage_Header,Multi-Color,3.2
744606,Hoodie,Category_Highlight,Red,2
878045,T-Shirt,Category_Highlight,Green,5.5
663710,Blouse,Category_Highlight,Multi-Color,4.1
583954,T-Shirt,Catalog,Blue,3.7
201197,Sweatshirt,Display_Ad_Campaign,Multi-Color,2.2
611285,Tunic,Frontpage_Header,Multi-Color,3.4
703618,Tunic,Catalog,Green,2.7
131457,Tunic,Category_Highlight,Multi-Color,3
912972,Blouse,Display_Ad_Campaign,Brown,5
620762,Hoodie,Catalog,White,4.3
701098,Sweatshirt,Frontpage_Header,Orange,4.1
579704,Sweatshirt,Frontpage_Header,Blue,2.9
208356,Sweatshirt,Display_Ad_Campaign,Blue,3.7
825673,Blouse,Frontpage_Header,Blue,4.4
419953,Hoodie,Category_Highlight,Red,1.9
660895,Blouse,Category_Highlight,White,2.5
646429,Polo-Shirt,Frontpage_Header,Yellow,3
846201,Polo-Shirt,Display_Ad_Campaign,White,1.8
460120,Polo-Shirt,Category_Highlight,Red,3.5
440308,Sweatshirt,Frontpage_Header,Green,3.1
530646,Blouse,Frontpage_Header,Red,4.7
448683,T-Shirt,Catalog,Yellow,4.2
661791,Blouse,Frontpage_Header,Pink,4
164581,T-Shirt,Frontpage_Header,Multi-Color,4
295366,Tunic,Category_Highlight,Yellow,2.6
605940,T-Shirt,Category_Highlight,Red,3.5
921096,Tunic,Catalog,Brown,4.7
988701,Tunic,Category_Highlight,Blue,4.6
220762,Sweatshirt,Frontpage_Header,Yellow,3
749461,Tunic,Category_Highlight,Brown,3.5
815488,T-Shirt,Frontpage_Header,Black,4.2
172712,Polo-Shirt,Catalog,Pink,4.2
436065,Sweatshirt,Catalog,Red,1
939694,Hoodie,Category_Highlight,Pink,3.6
783368,T-Shirt,Catalog,Yellow,4.5
903102,Tunic,Category_Highlight,Blue,2.9
792370,Hoodie,Category_Highlight,White,5.1
824128,Polo-Shirt,Catalog,Multi-Color,2.5
985020,Blouse,Frontpage_Header,Blue,2.4
792943,T-Shirt,Display_Ad_Campaign,Blue,3.5
867776,Sweatshirt,Catalog,Red,2.3
488847,Polo-Shirt,Frontpage_Header,Brown,4.3
234068,Hoodie,Display_Ad_Campaign,Blue,3.3
226293,Sweatshirt,Category_Highlight,Orange,2
405820,Hoodie,Frontpage_Header,Pink,2.8
181425,Hoodie,Display_Ad_Campaign,Yellow,3.3
776267,Tunic,Frontpage_Header,White,2.6
387429,Tunic,Category_Highlight,Yellow,3.3
675057,T-Shirt,Catalog,Multi-Color,5.9
350446,Polo-Shirt,Category_Highlight,Brown,4.3
275369,Tunic,Category_Highlight,Brown,4.8
278329,Hoodie,Catalog,Multi-Color,3.2
295428,Polo-Shirt,Frontpage_Header,Pink,2.5
679459,Polo-Shirt,Frontpage_Header,Brown,2.6
564998,Blouse,Category_Highlight,Red,4.3
448413,Sweatshirt,Frontpage_Header,Black,3.4
646884,Blouse,Frontpage_Header,Black,4.8
147068,T-Shirt,Frontpage_Header,Multi-Color,4.6
803782,T-Shirt,Catalog,Black,3.5
568844,Polo-Shirt,Frontpage_Header,Blue,3.9
205023,Hoodie,Category_Highlight,White,4.5
138454,Blouse,Display_Ad_Campaign,Black,4.6
939800,Sweatshirt,Display_Ad_Campaign,Blue,3.3
236450,Tunic,Category_Highlight,Blue,4.4
618914,T-Shirt,Category_Highlight,Green,5.2
734148,Hoodie,Display_Ad_Campaign,Green,3.8
523358,T-Shirt,Frontpage_Header,Multi-Color,4
787604,Polo-Shirt,Catalog,Multi-Color,2.8
473749,Polo-Shirt,Catalog,Green,3.8
818429,Sweatshirt,Frontpage_Header,Pink,3.3
481500,T-Shirt,Catalog,Black,3.3
487415,T-Shirt,Frontpage_Header,Pink,4.5
511707,Polo-Shirt,Frontpage_Header,Brown,3.4
273801,T-Shirt,Catalog,White,4.6
607387,T-Shirt,Catalog,Red,4
516737,Hoodie,Catalog,Yellow,2.4
126718,Sweatshirt,Category_Highlight,Pink,2.9
605239,Polo-Shirt,Catalog,Yellow,3.8
662523,Tunic,Category_Highlight,Green,3.9
426700,T-Shirt,Category_Highlight,Green,3.9
679147,Tunic,Catalog,Green,2.6
293626,T-Shirt,Frontpage_Header,Yellow,4.6
975561,Polo-Shirt,Display_Ad_Campaign,Yellow,3.8
248057,Hoodie,Category_Highlight,Orange,3.5
355537,T-Shirt,Frontpage_Header,Yellow,4.3
567647,Sweatshirt,Category_Highlight,Red,1.8
627809,Tunic,Category_Highlight,Brown,2.8
639862,Polo-Shirt,Category_Highlight,Black,3.6
809564,Hoodie,Catalog,Orange,3.2
267898,Sweatshirt,Category_Highlight,Red,1.5
619560,Tunic,Category_Highlight,Red,3
360293,Tunic,Catalog,Multi-Color,3.2
236017,Polo-Shirt,Category_Highlight,Brown,2.6
166638,Blouse,Frontpage_Header,Blue,2.9
162608,T-Shirt,Catalog,Green,3.8
404723,Tunic,Display_Ad_Campaign,Blue,2.6
968337,Sweatshirt,Catalog,Red,0.7
524822,Sweatshirt,Frontpage_Header,Blue,2.6
960361,Hoodie,Catalog,Green,4.2
501164,Tunic,Frontpage_Header,Blue,3
759457,T-Shirt,Catalog,Black,3.9
529446,Polo-Shirt,Category_Highlight,Multi-Color,3.4
602296,Polo-Shirt,Catalog,Blue,2.2
480825,Hoodie,Category_Highlight,Yellow,3.8
802254,T-Shirt,Catalog,Black,3.9
196003,Hoodie,Catalog,Yellow,3.3
748701,Sweatshirt,Frontpage_Header,Green,3.4
624118,T-Shirt,Category_Highlight,Yellow,5.1
589695,Blouse,Catalog,Orange,3.3
948373,Tunic,Frontpage_Header,Red,3.2
322053,Tunic,Frontpage_Header,Blue,3.9
726867,Polo-Shirt,Category_Highlight,Brown,2.9
210614,Sweatshirt,Display_Ad_Campaign,Blue,3.3
774934,Hoodie,Catalog,Orange,2.8
824811,Blouse,Category_Highlight,Blue,2.6
672942,Sweatshirt,Catalog,Multi-Color,2.3
750221,Polo-Shirt,Category_Highlight,Brown,3.5
742462,Polo-Shirt,Frontpage_Header,Yellow,3
374713,Tunic,Category_Highlight,Blue,3.1
736497,Tunic,Frontpage_Header,Blue,2.8
822832,Tunic,Frontpage_Header,Multi-Color,3
308606,Tunic,Category_Highlight,Red,2.5
191454,Sweatshirt,Display_Ad_Campaign,Blue,4
602381,Blouse,Frontpage_Header,Red,4.1
908315,Blouse,Catalog,Yellow,4.2
423907,Tunic,Frontpage_Header,Green,3.6
283945,Sweatshirt,Catalog,Black,5.2
760199,Polo-Shirt,Catalog,Blue,1.6
340510,Polo-Shirt,Category_Highlight,Brown,4
911454,Tunic,Category_Highlight,Red,3.5
400651,Hoodie,Catalog,Multi-Color,2.4
207433,Tunic,Frontpage_Header,Multi-Color,2.8
188771,Blouse,Frontpage_Header,Blue,3.3
743722,Tunic,Category_Highlight,Multi-Color,3
709742,Blouse,Frontpage_Header,Multi-Color,2.5
641692,Polo-Shirt,Catalog,Multi-Color,2.9
359559,Tunic,Category_Highlight,Blue,4.9
150311,Polo-Shirt,Frontpage_Header,Yellow,2.5
915208,T-Shirt,Category_Highlight,Green,4.7
415824,Blouse,Category_Highlight,Blue,2.4
387140,Blouse,Catalog,Yellow,4.2
263004,Tunic,Category_Highlight,Yellow,4.1
512554,T-Shirt,Frontpage_Header,Multi-Color,4.8
871811,Polo-Shirt,Category_Highlight,Multi-Color,3.2
926057,Sweatshirt,Frontpage_Header,Orange,3.3
546561,Sweatshirt,Frontpage_Header,Blue,2.6
698743,Polo-Shirt,Category_Highlight,Orange,2.7
846284,T-Shirt,Catalog,Blue,2.7
570814,Polo-Shirt,Display_Ad_Campaign,Pink,2.9
677742,Polo-Shirt,Catalog,Pink,3.6
401209,Tunic,Category_Highlight,Orange,2.5
343442,Blouse,Category_Highlight,Green,5.5
325851,Tunic,Category_Highlight,Brown,4.3
732079,T-Shirt,Catalog,Black,3.2
568586,Sweatshirt,Frontpage_Header,Red,4.5
781021,Polo-Shirt,Catalog,Blue,1.7
766531,Tunic,Category_Highlight,Red,3.3
838128,Sweatshirt,Frontpage_Header,Blue,3.2
742468,Tunic,Category_Highlight,White,4.7
247337,Polo-Shirt,Category_Highlight,Blue,5
540628,Blouse,Frontpage_Header,Multi-Color,2.8
673319,Blouse,Frontpage_Header,Blue,3.4
591803,Polo-Shirt,Category_Highlight,Blue,4.3
370384,Blouse,Category_Highlight,Red,3.8
175704,T-Shirt,Category_Highlight,Black,2.5
117874,Tunic,Catalog,Blue,1.5
234611,T-Shirt,Catalog,Blue,3.1
666764,Blouse,Frontpage_Header,Black,5
677151,Tunic,Catalog,Pink,3.7
881298,Polo-Shirt,Category_Highlight,Blue,3.5
792752,Sweatshirt,Category_Highlight,Red,1.7
641207,Blouse,Display_Ad_Campaign,White,5.2
574134,Sweatshirt,Frontpage_Header,Yellow,2.9
175436,Tunic,Category_Highlight,Brown,4.1
890340,T-Shirt,Category_Highlight,Yellow,4.3
868665,Blouse,Frontpage_Header,Multi-Color,2.9
449534,Hoodie,Frontpage_Header,Pink,3.1
586772,T-Shirt,Category_Highlight,Brown,4.9
543041,Sweatshirt,Category_Highlight,Red,1.3
767028,Sweatshirt,Category_Highlight,Red,0.9
577737,Sweatshirt,Catalog,Red,2.7
213213,Sweatshirt,Display_Ad_Campaign,Orange,1.8
974688,T-Shirt,Catalog,Multi-Color,1.9
487104,Polo-Shirt,Frontpage_Header,Brown,2.4
743250,Tunic,Category_Highlight,Brown,3.8
372269,T-Shirt,Display_Ad_Campaign,Black,3.3
879229,Sweatshirt,Frontpage_Header,Green,3.1
325639,Polo-Shirt,Display_Ad_Campaign,Yellow,5.5
931953,Hoodie,Category_Highlight,Green,3.3
303351,Polo-Shirt,Category_Highlight,Blue,4.2
632064,T-Shirt,Frontpage_Header,Yellow,4.9
580273,Tunic,Catalog,Red,3.4
344048,Polo-Shirt,Catalog,Orange,3.5
861294,Sweatshirt,Category_Highlight,Red,2.3
366675,Blouse,Category_Highlight,Multi-Color,1.5
431831,Tunic,Category_Highlight,Green,5.2
426362,Sweatshirt,Catalog,Blue,3.8
744427,T-Shirt,Frontpage_Header,Yellow,4
727565,Sweatshirt,Catalog,Yellow,3.2
419439,T-Shirt,Category_Highlight,Red,4.4
850133,Tunic,Category_Highlight,Blue,4.4
191983,Blouse,Frontpage_Header,Multi-Color,2.1
596153,Sweatshirt,Catalog,Black,5.3
110652,T-Shirt,Display_Ad_Campaign,Multi-Color,1.2
649222,Polo-Shirt,Frontpage_Header,Brown,2.9
395414,Hoodie,Category_Highlight,White,4
842091,Blouse,Frontpage_Header,Pink,5.1
198568,Blouse,Category_Highlight,Blue,3
530000,Tunic,Category_Highlight,Multi-Color,3.2
615368,Polo-Shirt,Frontpage_Header,Yellow,2.6
734340,Tunic,Category_Highlight,Multi-Color,3.6
865120,Polo-Shirt,Display_Ad_Campaign,Orange,3.2
424322,T-Shirt,Catalog,Multi-Color,1.9
624317,Polo-Shirt,Catalog,Green,3.7
318378,Hoodie,Display_Ad_Campaign,Blue,4.3
206113,Hoodie,Category_Highlight,Black,3.8
275172,Polo-Shirt,Display_Ad_Campaign,Yellow,4.9
554027,Blouse,Category_Highlight,Blue,2.9
626341,Polo-Shirt,Frontpage_Header,Multi-Color,2.7
765314,Polo-Shirt,Catalog,Green,2.9
686181,Polo-Shirt,Category_Highlight,Blue,3.3
179839,Tunic,Category_Highlight,Yellow,2.4
536950,Tunic,Category_Highlight,Brown,4.6
217180,T-Shirt,Frontpage_Header,Multi-Color,4.4
140310,Blouse,Frontpage_Header,Blue,3.9
473154,Blouse,Display_Ad_Campaign,Blue,4.6
523785,Polo-Shirt,Frontpage_Header,Yellow,3.5
731347,Tunic,Catalog,Multi-Color,3.2
989665,T-Shirt,Category_Highlight,Yellow,3.7
308925,Polo-Shirt,Frontpage_Header,Multi-Color,3.5
895710,Tunic,Category_Highlight,Yellow,1.9
283043,Sweatshirt,Display_Ad_Campaign,Blue,3.1
943327,Blouse,Frontpage_Header,Blue,2.5
219025,Blouse,Frontpage_Header,Blue,4.1
639640,Sweatshirt,Category_Highlight,Multi-Color,0.8
285275,Sweatshirt,Catalog,Black,4.3
982592,Polo-Shirt,Category_Highlight,Green,3.4
749637,Polo-Shirt,Category_Highlight,Blue,3.3
345294,Blouse,Catalog,Green,4.3
778336,Sweatshirt,Catalog,Black,4.2
566806,Blouse,Frontpage_Header,Blue,3.9
893228,Blouse,Frontpage_Header,Blue,4.3
738362,T-Shirt,Category_Highlight,Multi-Color,3.1
276596,Tunic,Frontpage_Header,Blue,3.1
446081,Polo-Shirt,Frontpage_Header,Yellow,3
848162,Sweatshirt,Catalog,Multi-Color,2.8
313920,Blouse,Category_Highlight,Yellow,3.4
453762,Hoodie,Display_Ad_Campaign,Orange,5
356526,Hoodie,Catalog,Green,3.4
414062,Hoodie,Catalog,Yellow,3.5
582725,Blouse,Frontpage_Header,Black,4.3
409860,Polo-Shirt,Catalog,Green,2.2
480055,Polo-Shirt,Display_Ad_Campaign,Multi-Color,3.8
360812,Tunic,Frontpage_Header,Multi-Color,3.4
772974,Polo-Shirt,Catalog,Multi-Color,3.1
913213,Sweatshirt,Catalog,Blue,4.9
346730,Sweatshirt,Catalog,Red,2.5
873087,Tunic,Category_Highlight,Red,3.1
708944,Blouse,Catalog,Blue,4.7
762827,Tunic,Catalog,Brown,3.4
407224,Sweatshirt,Catalog,Multi-Color,2.6
482009,T-Shirt,Catalog,Yellow,3.7
216314,Polo-Shirt,Category_Highlight,Brown,3.4
838158,T-Shirt,Catalog,Multi-Color,0.6
636445,Polo-Shirt,Catalog,Blue,1.9
333602,Hoodie,Catalog,Yellow,3.5
182566,Polo-Shirt,Category_Highlight,Orange,2.4
832128,Blouse,Catalog,Black,3.7
525120,Tunic,Catalog,Pink,3
967408,Sweatshirt,Catalog,Black,4.9
824418,Sweatshirt,Category_Highlight,Multi-Color,1.7
206032,Tunic,Category_Highlight,Green,2.8
319933,Polo-Shirt,Category_Highlight,Orange,1.5
544457,Blouse,Display_Ad_Campaign,Blue,3.9
472143,Hoodie,Category_Highlight,Multi-Color,3
455225,Polo-Shirt,Frontpage_Header,Yellow,2.5
458734,Sweatshirt,Catalog,Multi-Color,2.8
559856,Tunic,Catalog,Multi-Color,4.3
735402,Tunic,Display_Ad_Campaign,Black,3.2
512695,Polo-Shirt,Catalog,Yellow,3.3
260261,Tunic,Category_Highlight,Yellow,3
760949,T-Shirt,Category_Highlight,Yellow,4.2
565200,Blouse,Frontpage_Header,Multi-Color,2.6
751936,Polo-Shirt,Category_Highlight,Yellow,4.4
410716,T-Shirt,Frontpage_Header,Yellow,4.6
111863,Polo-Shirt,Frontpage_Header,Multi-Color,2.8
120091,Blouse,Frontpage_Header,Multi-Color,2.8
555970,Polo-Shirt,Category_Highlight,Orange,1.9
618364,Blouse,Display_Ad_Campaign,Brown,4.7
454573,T-Shirt,Display_Ad_Campaign,Black,3.4
464676,Tunic,Category_Highlight,Green,3.4
753841,Hoodie,Category_Highlight,Green,3.8
845862,Sweatshirt,Catalog,Orange,4.4
296195,Hoodie,Display_Ad_Campaign,Orange,3.7
864203,Tunic,Category_Highlight,Yellow,2.8
500660,Blouse,Frontpage_Header,Multi-Color,3.1
912860,Tunic,Display_Ad_Campaign,Multi-Color,4.3
487875,T-Shirt,Catalog,Red,4.8
